Max_Page,Policy,Hit_Rate
5,WORKINGSET,60.0
5,LRU,65.0
5,FIFO,65.0
5,CLOCK,60.0
10,WORKINGSET,35.0
10,LRU,35.0
10,FIFO,35.0
10,CLOCK,30.0
15,WORKINGSET,10.0
15,LRU,10.0
15,FIFO,10.0
15,CLOCK,10.0
20,WORKINGSET,15.0
20,LRU,15.0
20,FIFO,15.0
20,CLOCK,15.0
25,WORKINGSET,5.0
25,LRU,5.0
25,FIFO,5.0
25,CLOCK,5.0
