Cache_Size,Policy,Hit_Rate
2,WORKINGSET,15.0
2,LRU,15.0
2,FIFO,15.0
2,CLOCK,15.0
3,WORKINGSET,15.0
3,LRU,15.0
3,FIFO,15.0
3,CLOCK,15.0
4,WORKINGSET,35.0
4,LRU,35.0
4,FIFO,35.0
4,CLOCK,30.0
5,WORKINGSET,45.0
5,LRU,40.0
5,FIFO,40.0
5,CLOCK,40.0
6,WORKINGSET,50.0
6,LRU,45.0
6,FIFO,45.0
6,CLOCK,45.0
